;Frechet distance;Metabolite;Vendor-defined super-pathway;Vendor-defined sub-pathway;Fluid;Platform;KEGG;HMDB;ID;labels
19;0,5462;3-hydroxyhippurate;Xenobiotics;Benzoate Metabolism;Urine;Metabolon HD4 [nt-ms];NA;HMDB06116;2090598;3-hydroxyhippurate [U, nt-ms]
20;0,5469;paraxanthine;Xenobiotics;Xanthine Metabolism;Urine;Metabolon HD4 [nt-ms];C13747;HMDB01860;2090969;paraxanthine [U, nt-ms]
21;0,549;N-carbamoylalanine;Amino Acids;Alanine and Aspartate Metabolism;Urine;Metabolon HD4 [nt-ms];NA;NA;2091239;N-carbamoylalanine [U, nt-ms]
22;0,5522;trigonelline (N'-methylnicotinate);Cofactors and Vitamins;Nicotinate and Nicotinamide Metabolism;Plasma;Metabolon HD4 [nt-ms];C01004;HMDB00875;1091055;trigonelline (N'-methylnicotinate) [P, nt-ms]
23;0,5524;2-hydroxyhippurate (salicylurate);Xenobiotics;Benzoate Metabolism;Urine;Metabolon HD4 [nt-ms];C07588;HMDB00840;2091090;2-hydroxyhippurate (salicylurate) [U, nt-ms]
24;0,5535;4-acetamidophenylglucuronide;Xenobiotics;Drug;Urine;Metabolon HD4 [nt-ms];NA;HMDB10316;2090621;4-acetamidophenylglucuronide [U, nt-ms]
25;0,5644;indolepropionate;Amino Acids;Tryptophan Metabolism;Plasma;Metabolon HD4 [nt-ms];NA;HMDB02302;1090853;indolepropionate [P, nt-ms]
26;0,5772;PC aa C32:2;Lipids;Diacylphosphatidylcholines;Plasma;Biocrates p150 [t-ms];C00157;HMDB08002;1010085;PC aa C32:2 [P, t-ms]
27;0,5781;N-methylhydantoin;Amino Acids;Creatine Metabolism;Urine;Metabolon HD4 [nt-ms];C02565;HMDB03646;2091248;N-methylhydantoin [U, nt-ms]
28;0,5805;glucosaminate;Carbohydrates;Aminosugar Metabolism;Urine;Metabolon HD4 [nt-ms];C03752;NA;2091199;glucosaminate [U, nt-ms]
29;0,5812;hippurate;Xenobiotics;Benzoate Metabolism;Plasma;Metabolon HD4 [nt-ms];C01586;HMDB00714;1090835;hippurate [P, nt-ms]
30;0,5814;O-acetylhomoserine;Amino Acids;Glycine, Serine and Threonine Metabolism;Plasma;Metabolon HD4 [nt-ms];C01077;NA;1090951;O-acetylhomoserine [P, nt-ms]
31;0,5816;2-aminophenol sulfate;Xenobiotics;Chemical;Plasma;Metabolon HD4 [nt-ms];NA;HMDB61116;1090554;2-aminophenol sulfate [P, nt-ms]
32;0,5883;N-acetyl-3-methylhistidine*;Amino Acids;Histidine Metabolism;Plasma;Metabolon HD4 [nt-ms];NA;NA;1090909;N-acetyl-3-methylhistidine* [P, nt-ms]
33;0,5889;trigonelline (N'-methylnicotinate);Cofactors and Vitamins;Nicotinate and Nicotinamide Metabolism;Urine;Metabolon HD4 [nt-ms];C01004;HMDB00875;2091055;trigonelline (N'-methylnicotinate) [U, nt-ms]
34;0,5906;equol glucuronide;Xenobiotics;Food Component/Plant;Plasma;Metabolon HD4 [nt-ms];NA;NA;1090767;equol glucuronide [P, nt-ms]
35;0,5909;lysoPC a C14:0;Lipids;Lysophospholipids;Plasma;Biocrates p150 [t-ms];C04230;HMDB10379;1010149;lysoPC a C14:0 [P, t-ms]
36;0,608;1-myristoyl-GPC (14:0);Lipids;Lysolipid;Plasma;Metabolon HD4 [nt-ms];C04230;HMDB10379;1090529;1-myristoyl-GPC (14:0) [P, nt-ms]
37;0,6122;3-methoxycatechol sulfate (2);Xenobiotics;Benzoate Metabolism;Urine;Metabolon HD4 [nt-ms];NA;NA;2091123;3-methoxycatechol sulfate (2) [U, nt-ms]
38;0,6162;mannitol/sorbitol;Carbohydrates;Fructose, Mannose and Galactose Metabolism;Plasma;Metabolon HD4 [nt-ms];C01507;HMDB00247;1090883;mannitol/sorbitol [P, nt-ms]
39;0,6236;4-acetaminophen sulfate;Xenobiotics;Drug;Urine;Metabolon HD4 [nt-ms];C06804;HMDB59911;2090622;4-acetaminophen sulfate [U, nt-ms]
40;0,6285;hippurate;Xenobiotics;Benzoate Metabolism;Urine;Metabolon HD4 [nt-ms];C01586;HMDB00714;2090835;hippurate [U, nt-ms]
41;0,6379;3-methoxycatechol sulfate (1);Xenobiotics;Benzoate Metabolism;Urine;Metabolon HD4 [nt-ms];NA;NA;2090607;3-methoxycatechol sulfate (1) [U, nt-ms]
42;0,6431;1-methylurate;Xenobiotics;Xanthine Metabolism;Urine;Metabolon HD4 [nt-ms];C16359;HMDB03099;2090527;1-methylurate [U, nt-ms]
43;0,644;5-acetylamino-6-amino-3-methyluracil;Xenobiotics;Xanthine Metabolism;Plasma;Metabolon HD4 [nt-ms];C16366;HMDB04400;1090644;5-acetylamino-6-amino-3-methyluracil [P, nt-ms]
44;0,6508;3-(3-hydroxyphenyl)propionate sulfate;Amino Acids;Phenylalanine and Tyrosine Metabolism;Urine;Metabolon HD4 [nt-ms];NA;NA;2091102;3-(3-hydroxyphenyl)propionate sulfate [U, nt-ms]
45;0,6522;N-acetylalliin;Xenobiotics;Food Component/Plant;Urine;Metabolon HD4 [nt-ms];NA;NA;2090911;N-acetylalliin [U, nt-ms]
46;0,6674;dihydroferulic acid;Xenobiotics;Food Component/Plant;Urine;Metabolon HD4 [nt-ms];NA;NA;2090757;dihydroferulic acid [U, nt-ms]
47;0,6782;dihydroferulic acid;Xenobiotics;Food Component/Plant;Plasma;Metabolon HD4 [nt-ms];NA;NA;1090757;dihydroferulic acid [P, nt-ms]
48;0,679;3-methyl catechol sulfate (1);Xenobiotics;Benzoate Metabolism;Plasma;Metabolon HD4 [nt-ms];NA;NA;1090609;3-methyl catechol sulfate (1) [P, nt-ms]
49;0,685;equol sulfate;Xenobiotics;Food Component/Plant;Urine;Metabolon HD4 [nt-ms];NA;NA;2090768;equol sulfate [U, nt-ms]
50;0,6949;4-vinylphenol sulfate;Xenobiotics;Benzoate Metabolism;Plasma;Metabolon HD4 [nt-ms];C05627;HMDB04072;1090641;4-vinylphenol sulfate [P, nt-ms]
51;0,6991;3-(N-acetyl-L-cystein-S-yl) acetaminophen;Xenobiotics;Drug;Urine;Metabolon HD4 [nt-ms];NA;NA;2091104;3-(N-acetyl-L-cystein-S-yl) acetaminophen [U, nt-ms]
52;0,7032;PC aa C30:0;Lipids;Diacylphosphatidylcholines;Plasma;Biocrates p150 [t-ms];C00157;HMDB07869;1010082;PC aa C30:0 [P, t-ms]
53;0,7074;1,7-dimethylurate;Xenobiotics;Xanthine Metabolism;Urine;Metabolon HD4 [nt-ms];C16356;HMDB11103;2090488;1,7-dimethylurate [U, nt-ms]
54;0,7141;trimethylamine N-oxide;Lipids;Phospholipid Metabolism;Plasma;Metabolon HD4 [nt-ms];C01104;HMDB00925;1091056;trimethylamine N-oxide [P, nt-ms]
55;0,721;glycine;Amino Acids;Glycine, Serine and Threonine Metabolism;Plasma;Metabolon HD4 [nt-ms];C00037;HMDB00123;1090815;glycine [P, nt-ms]
56;0,7269;salicyluric glucuronide*;Xenobiotics;Drug;Urine;Metabolon HD4 [nt-ms];NA;NA;2091276;salicyluric glucuronide* [U, nt-ms]
57;0,7286;indoleacetylglutamine;Amino Acids;Tryptophan Metabolism;Plasma;Metabolon HD4 [nt-ms];NA;HMDB13240;1090851;indoleacetylglutamine [P, nt-ms]
58;0,7314;gentisate;Amino Acids;Phenylalanine and Tyrosine Metabolism;Urine;Metabolon HD4 [nt-ms];C00628;HMDB00152;2090799;gentisate [U, nt-ms]
59;0,7333;3-methyl catechol sulfate (1);Xenobiotics;Benzoate Metabolism;Urine;Metabolon HD4 [nt-ms];NA;NA;2090609;3-methyl catechol sulfate (1) [U, nt-ms]
60;0,7398;1,2,3-benzenetriol sulfate (2);Xenobiotics;Chemical;Urine;Metabolon HD4 [nt-ms];NA;NA;2091074;1,2,3-benzenetriol sulfate (2) [U, nt-ms]
61;0,7442;1,3-dimethylurate;Xenobiotics;Xanthine Metabolism;Plasma;Metabolon HD4 [nt-ms];NA;HMDB01857;1090485;1,3-dimethylurate [P, nt-ms]
62;0,7463;gamma-glutamylglycine;Peptides;Gamma-glutamyl Amino Acid;Plasma;Metabolon HD4 [nt-ms];NA;HMDB11667;1090788;gamma-glutamylglycine [P, nt-ms]
63;0,7576;galactonate;Carbohydrates;Fructose, Mannose and Galactose Metabolism;Urine;Metabolon HD4 [nt-ms];C00880;HMDB00565;2091196;galactonate [U, nt-ms]
64;0,7585;quinate;Xenobiotics;Food Component/Plant;Plasma;Metabolon HD4 [nt-ms];C00296;HMDB03072;1091003;quinate [P, nt-ms]
65;0,7687;N-carbamoylsarcosine;Amino Acids;Creatine Metabolism;Urine;Metabolon HD4 [nt-ms];C01043;HMDB12265;2091241;N-carbamoylsarcosine [U, nt-ms]
66;0,77;threonine;Amino Acids;Glycine, Serine and Threonine Metabolism;Plasma;Metabolon HD4 [nt-ms];C00188;HMDB00167;1091047;threonine [P, nt-ms]
67;0,7706;paraxanthine;Xenobiotics;Xanthine Metabolism;Plasma;Metabolon HD4 [nt-ms];C13747;HMDB01860;1090969;paraxanthine [P, nt-ms]
68;0,786;hyocholate;Lipids;Secondary Bile Acid Metabolism;Plasma;Metabolon HD4 [nt-ms];C17649;HMDB00760;1090843;hyocholate [P, nt-ms]
69;0,7923;N6,N6,N6-trimethyllysine;Amino Acids;Lysine Metabolism;Plasma;Metabolon HD4 [nt-ms];C03793;HMDB01325;1090903;N6,N6,N6-trimethyllysine [P, nt-ms]
70;0,8012;arginine;Amino Acids;"Urea cycle; Arginine and Proline Metabolism";Plasma;Metabolon HD4 [nt-ms];C00062;HMDB00517;1090697;arginine [P, nt-ms]
71;0,8097;3-hydroxyhippurate;Xenobiotics;Benzoate Metabolism;Plasma;Metabolon HD4 [nt-ms];NA;HMDB06116;1090598;3-hydroxyhippurate [P, nt-ms]
72;0,8142;1,3,7-trimethylurate;Xenobiotics;Xanthine Metabolism;Plasma;Metabolon HD4 [nt-ms];C16361;HMDB02123;1090484;1,3,7-trimethylurate [P, nt-ms]
73;0,8163;hydroquinone sulfate;Xenobiotics;Drug;Urine;Metabolon HD4 [nt-ms];C00530;HMDB02434;2090841;hydroquinone sulfate [U, nt-ms]
74;0,8171;3-hydroxycinnamate sulfate;Xenobiotics;Food Component/Plant;Urine;Metabolon HD4 [nt-ms];NA;NA;2091113;3-hydroxycinnamate sulfate [U, nt-ms]
75;0,8206;gamma-glutamylthreonine*;Peptides;Gamma-glutamyl Amino Acid;Plasma;Metabolon HD4 [nt-ms];NA;HMDB29159;1090794;gamma-glutamylthreonine* [P, nt-ms]
76;0,8217;ornithine;Amino Acids;"Urea cycle; Arginine and Proline Metabolism";Plasma;Metabolon HD4 [nt-ms];C00077;HMDB03374;1090959;ornithine [P, nt-ms]
77;0,8241;4-androsten-3alpha,17alpha-diol monosulfate (2);Lipids;Steroid;Plasma;Metabolon HD4 [nt-ms];NA;NA;1090625;4-androsten-3alpha,17alpha-diol monosulfate (2) [P, nt-ms]
78;0,8246;guanidinoacetate;Amino Acids;Creatine Metabolism;Plasma;Metabolon HD4 [nt-ms];C00581;HMDB00128;1090829;guanidinoacetate [P, nt-ms]
79;0,8252;chylomicrons remnants (particlesize=80-100nm);Lipids;Lipoprotein;Plasma;numares (Lipofit) [NMR];NA;NA;1070016;chylomicrons remnants (particlesize=80-100nm) [P, NMR]
80;0,8292;gentisate;Amino Acids;Phenylalanine and Tyrosine Metabolism;Plasma;Metabolon HD4 [nt-ms];C00628;HMDB00152;1090799;gentisate [P, nt-ms]
81;0,8303;glycine;Amino Acids;Glycine, Serine and Threonine Metabolism;Plasma;Biocrates p150 [t-ms];C00037;HMDB00123;1010069;glycine [P, t-ms]
82;0,8318;5-acetylamino-6-amino-3-methyluracil;Xenobiotics;Xanthine Metabolism;Urine;Metabolon HD4 [nt-ms];C16366;HMDB04400;2090644;5-acetylamino-6-amino-3-methyluracil [U, nt-ms]
83;0,8349;2,3-dihydroxypyridine;Xenobiotics;Food Component/Plant;Urine;Metabolon HD4 [nt-ms];NA;NA;2091081;2,3-dihydroxypyridine [U, nt-ms]
84;0,835;3-phenylpropionate (hydrocinnamate);Amino Acids;Phenylalanine and Tyrosine Metabolism;Plasma;Metabolon HD4 [nt-ms];C05629;HMDB00764;1090616;3-phenylpropionate (hydrocinnamate) [P, nt-ms]
85;0,8397;PC aa C34:4;Lipids;Diacylphosphatidylcholines;Plasma;Biocrates p150 [t-ms];C00157;HMDB07976;1010090;PC aa C34:4 [P, t-ms]
86;0,8398;indoleacetylglutamine;Amino Acids;Tryptophan Metabolism;Urine;Metabolon HD4 [nt-ms];NA;HMDB13240;2090851;indoleacetylglutamine [U, nt-ms]
87;0,8439;theophylline;Xenobiotics;Xanthine Metabolism;Plasma;Metabolon HD4 [nt-ms];C07130;HMDB01889;1091045;theophylline [P, nt-ms]
88;0,8455;S-(3-hydroxypropyl)mercapturic acid (HPMA);Xenobiotics;Chemical;Urine;Metabolon HD4 [nt-ms];NA;NA;2091271;S-(3-hydroxypropyl)mercapturic acid (HPMA) [U, nt-ms]
89;0,8504;1,7-dimethylurate;Xenobiotics;Xanthine Metabolism;Plasma;Metabolon HD4 [nt-ms];C16356;HMDB11103;1090488;1,7-dimethylurate [P, nt-ms]
90;0,8505;1-methylxanthine;Xenobiotics;Xanthine Metabolism;Plasma;Metabolon HD4 [nt-ms];C16358;HMDB10738;1090528;1-methylxanthine [P, nt-ms]
91;0,8554;1-methylguanidine;Amino Acids;Guanidino and Acetamido Metabolism;Plasma;Metabolon HD4 [nt-ms];C02294;HMDB01522;1090523;1-methylguanidine [P, nt-ms]
92;0,8603;5-acetylamino-6-formylamino-3-methyluracil;Xenobiotics;Xanthine Metabolism;Urine;Metabolon HD4 [nt-ms];C16365;HMDB11105;2090645;5-acetylamino-6-formylamino-3-methyluracil [U, nt-ms]
93;0,8612;tartarate;Xenobiotics;Food Component/Plant;Urine;Metabolon HD4 [nt-ms];C00898;HMDB00956;2091032;tartarate [U, nt-ms]
94;0,8632;1-methylurate;Xenobiotics;Xanthine Metabolism;Plasma;Metabolon HD4 [nt-ms];C16359;HMDB03099;1090527;1-methylurate [P, nt-ms]
95;0,8647;arginine;Amino Acids;"Urea cycle; Arginine and Proline Metabolism";Plasma;Biocrates p150 [t-ms];C00062;HMDB00517;1010067;arginine [P, t-ms]
96;0,8703;benzoylcarnitine*;Xenobiotics;Chemical;Urine;Metabolon HD4 [nt-ms];NA;NA;2090703;benzoylcarnitine* [U, nt-ms]
97;0,872;N-acetylcysteine;Amino Acids;Methionine, Cysteine, SAM and Taurine Metabolism;Urine;Metabolon HD4 [nt-ms];C06809;HMDB01890;2091233;N-acetylcysteine [U, nt-ms]
98;0,8747;cystathionine;Amino Acids;Methionine, Cysteine, SAM and Taurine Metabolism;Urine;Metabolon HD4 [nt-ms];C02291;HMDB00099;2090745;cystathionine [U, nt-ms]
99;0,8759;1-nonadecanoyl-GPC (19:0);Lipids;Lysolipid;Plasma;Metabolon HD4 [nt-ms];NA;NA;1090530;1-nonadecanoyl-GPC (19:0) [P, nt-ms]
100;0,8774;gamma-glutamylthreonine*;Peptides;Gamma-glutamyl Amino Acid;Urine;Metabolon HD4 [nt-ms];NA;HMDB29159;2090794;gamma-glutamylthreonine* [U, nt-ms]
101;0,8787;gamma-glutamylhistidine;Peptides;Gamma-glutamyl Amino Acid;Urine;Metabolon HD4 [nt-ms];NA;NA;2090789;gamma-glutamylhistidine [U, nt-ms]
102;0,8804;eugenol sulfate;Xenobiotics;Food Component/Plant;Urine;Metabolon HD4 [nt-ms];NA;NA;2090775;eugenol sulfate [U, nt-ms]
103;0,8806;5-hydroxylysine;Amino Acids;Lysine Metabolism;Urine;Metabolon HD4 [nt-ms];C16741;HMDB00450;2090662;5-hydroxylysine [U, nt-ms]
104;0,8913;fucitol;Xenobiotics;Food Component/Plant;Urine;Metabolon HD4 [nt-ms];NA;NA;2091193;fucitol [U, nt-ms]
105;0,8996;piperine;Xenobiotics;Food Component/Plant;Plasma;Metabolon HD4 [nt-ms];C03882;HMDB29377;1090985;piperine [P, nt-ms]
106;0,904;N-acetyl-S-allyl-L-cysteine;Xenobiotics;Food Component/Plant;Plasma;Metabolon HD4 [nt-ms];NA;NA;1090932;N-acetyl-S-allyl-L-cysteine [P, nt-ms]
107;0,9049;mannitol/sorbitol;Carbohydrates;Fructose, Mannose and Galactose Metabolism;Urine;Metabolon HD4 [nt-ms];C01507;HMDB00247;2090883;mannitol/sorbitol [U, nt-ms]
108;0,9093;3-hydroxyphenylacetate;Amino Acids;Phenylalanine and Tyrosine Metabolism;Urine;Metabolon HD4 [nt-ms];C05593;HMDB00440;2091117;3-hydroxyphenylacetate [U, nt-ms]
109;0,9122;equol glucuronide;Xenobiotics;Food Component/Plant;Urine;Metabolon HD4 [nt-ms];NA;NA;2090767;equol glucuronide [U, nt-ms]
110;0,9137;nicotinate ribonucleoside;Cofactors and Vitamins;Nicotinate and Nicotinamide Metabolism;Urine;Metabolon HD4 [nt-ms];C05841;HMDB06809;2091246;nicotinate ribonucleoside [U, nt-ms]
111;0,9142;equol sulfate;Xenobiotics;Food Component/Plant;Plasma;Metabolon HD4 [nt-ms];NA;NA;1090768;equol sulfate [P, nt-ms]
112;0,9152;threonine;Amino Acids;Glycine, Serine and Threonine Metabolism;Urine;Metabolon HD4 [nt-ms];C00188;HMDB00167;2091047;threonine [U, nt-ms]
113;0,9163;ferulic acid 4-sulfate;Xenobiotics;Food Component/Plant;Urine;Metabolon HD4 [nt-ms];NA;HMDB29200;2090776;ferulic acid 4-sulfate [U, nt-ms]
114;0,92;cholate;Lipids;Primary Bile Acid Metabolism;Urine;Metabolon HD4 [nt-ms];C00695;HMDB00619;2090728;cholate [U, nt-ms]
115;0,9234;quinate;Xenobiotics;Food Component/Plant;Urine;Metabolon HD4 [nt-ms];C00296;HMDB03072;2091003;quinate [U, nt-ms]
116;0,9241;nornicotine;Xenobiotics;Chemical;Urine;Metabolon HD4 [nt-ms];NA;NA;2091252;nornicotine [U, nt-ms]
117;0,9268;anserine;Peptides;Dipeptide Derivative;Urine;Metabolon HD4 [nt-ms];C01262;HMDB00194;2091162;anserine [U, nt-ms]
118;0,9277;2-hydroxyacetaminophen sulfate*;Xenobiotics;Drug;Urine;Metabolon HD4 [nt-ms];NA;NA;2090561;2-hydroxyacetaminophen sulfate* [U, nt-ms]
119;0,9384;2,3-dihydroxyisovalerate;Xenobiotics;Food Component/Plant;Urine;Metabolon HD4 [nt-ms];C04039;HMDB12141;2090547;2,3-dihydroxyisovalerate [U, nt-ms]
120;0,9438;M35;Unknowns;Unknown;Breath air;In-house PTR-MS [PTRMS];NA;NA;4080382;M35 [BA, PTRMS]
121;0,9448;carnosine;Peptides;Dipeptide Derivative;Plasma;Metabolon HD4 [nt-ms];C00386;HMDB00033;1090724;carnosine [P, nt-ms]
122;0,9497;1,3-dimethylurate;Xenobiotics;Xanthine Metabolism;Urine;Metabolon HD4 [nt-ms];NA;HMDB01857;2090485;1,3-dimethylurate [U, nt-ms]
123;0,953;3-(3-hydroxyphenyl)propionate;Amino Acids;Phenylalanine and Tyrosine Metabolism;Plasma;Metabolon HD4 [nt-ms];C11457;HMDB00375;1090582;3-(3-hydroxyphenyl)propionate [P, nt-ms]
124;0,9539;theanine;Xenobiotics;Food Component/Plant;Urine;Metabolon HD4 [nt-ms];C01047;HMDB34365;2091289;theanine [U, nt-ms]
125;0,9543;methylsuccinoylcarnitine (1);Amino Acids;Leucine, Isoleucine and Valine Metabolism;Plasma;Metabolon HD4 [nt-ms];NA;NA;1090893;methylsuccinoylcarnitine (1) [P, nt-ms]
126;0,9576;M30;Unknowns;Unknown;Breath air;In-house PTR-MS [PTRMS];NA;NA;4080377;M30 [BA, PTRMS]
127;0,961;beta-alanine;Nucleotides;Pyrimidine Metabolism, Uracil containing;Urine;Metabolon HD4 [nt-ms];C00099;HMDB00056;2090704;beta-alanine [U, nt-ms]
128;0,967;prolylglycine;Peptides;Dipeptide;Urine;Metabolon HD4 [nt-ms];NA;NA;2090994;prolylglycine [U, nt-ms]
129;0,9691;3-phosphoglycerate;Carbohydrates;Glycolysis, Gluconeogenesis, and Pyruvate Metabolism;Urine;Metabolon HD4 [nt-ms];C00597;HMDB00807;2090617;3-phosphoglycerate [U, nt-ms]
130;0,9757;lysoPC a C18:0;Lipids;Lysophospholipids;Plasma;Biocrates p150 [t-ms];C04230;HMDB10384;1010153;lysoPC a C18:0 [P, t-ms]
131;0,9799;carnosine;Peptides;Dipeptide Derivative;Urine;Metabolon HD4 [nt-ms];C00386;HMDB00033;2090724;carnosine [U, nt-ms]
132;0,987;thymol sulfate;Xenobiotics;Food Component/Plant;Urine;Metabolon HD4 [nt-ms];C09908;HMDB01878;2091049;thymol sulfate [U, nt-ms]
133;0,9871;2-hydroxyacetaminophen sulfate*;Xenobiotics;Drug;Plasma;Metabolon HD4 [nt-ms];NA;NA;1090561;2-hydroxyacetaminophen sulfate* [P, nt-ms]
134;0,9875;allantoin;Nucleotides;Purine Metabolism, (Hypo)Xanthine/Inosine containing;Urine;Metabolon HD4 [nt-ms];C02350;HMDB00462;2090683;allantoin [U, nt-ms]
135;0,9929;5-acetylamino-6-formylamino-3-methyluracil;Xenobiotics;Xanthine Metabolism;Plasma;Metabolon HD4 [nt-ms];C16365;HMDB11105;1090645;5-acetylamino-6-formylamino-3-methyluracil [P, nt-ms]
136;0,994;N6-carboxyethyllysine;Amino Acids;Lysine Metabolism;Urine;Metabolon HD4 [nt-ms];NA;NA;2091230;N6-carboxyethyllysine [U, nt-ms]
137;0,9958;catechol sulfate;Xenobiotics;Benzoate Metabolism;Urine;Metabolon HD4 [nt-ms];C00090;HMDB59724;2090725;catechol sulfate [U, nt-ms]
138;1,0028;3-hydroxypyridine sulfate;Xenobiotics;Chemical;Urine;Metabolon HD4 [nt-ms];NA;NA;2090604;3-hydroxypyridine sulfate [U, nt-ms]
139;1,0117;S-carboxymethyl-L-cysteine;Xenobiotics;Drug;Urine;Metabolon HD4 [nt-ms];C03727;HMDB29415;2091277;S-carboxymethyl-L-cysteine [U, nt-ms]
140;1,0167;2-methoxyresorcinol sulfate;Xenobiotics;Chemical;Urine;Metabolon HD4 [nt-ms];NA;NA;2091096;2-methoxyresorcinol sulfate [U, nt-ms]
141;1,0236;ornithine;Amino Acids;"Urea cycle; Arginine and Proline Metabolism";Urine;Metabolon HD4 [nt-ms];C00077;HMDB03374;2090959;ornithine [U, nt-ms]
142;1,0258;3-methyl catechol sulfate (2);Xenobiotics;Benzoate Metabolism;Urine;Metabolon HD4 [nt-ms];NA;NA;2091126;3-methyl catechol sulfate (2) [U, nt-ms]
143;1,026;4-hydroxyglutamate;Amino Acids;Glutamate Metabolism;Urine;Metabolon HD4 [nt-ms];C03079;HMDB01344;2091139;4-hydroxyglutamate [U, nt-ms]
144;1,0278;phenylpropionylglycine;Amino Acids;Phenylalanine and Tyrosine Metabolism;Urine;Metabolon HD4 [nt-ms];NA;HMDB00860;2091256;phenylpropionylglycine [U, nt-ms]
145;1,0293;ornithine;Amino Acids;"Urea cycle; Arginine and Proline Metabolism";Plasma;Biocrates p150 [t-ms];C00515;HMDB03374;1010072;ornithine [P, t-ms]
146;1,0315;PC aa C32:1;Lipids;Diacylphosphatidylcholines;Plasma;Biocrates p150 [t-ms];C00157;HMDB07969;1010084;PC aa C32:1 [P, t-ms]
147;1,0375;1-pentadecanoyl-GPC (15:0)*;Lipids;Lysolipid;Plasma;Metabolon HD4 [nt-ms];NA;NA;1090542;1-pentadecanoyl-GPC (15:0)* [P, nt-ms]
148;1,0394;acisoga;Amino Acids;Polyamine Metabolism;Plasma;Metabolon HD4 [nt-ms];NA;NA;1090675;acisoga [P, nt-ms]
149;1,0447;1,2,3-benzenetriol sulfate (1);Xenobiotics;Chemical;Urine;Metabolon HD4 [nt-ms];NA;NA;2091073;1,2,3-benzenetriol sulfate (1) [U, nt-ms]
150;1,0453;phytanate;Xenobiotics;Food Component/Plant;Plasma;Metabolon HD4 [nt-ms];C01607;HMDB00417,HMDB00801,HMDB00553;1090983;phytanate [P, nt-ms]
151;1,0488;hydroxycotinine;Xenobiotics;Tobacco Metabolite;Plasma;Metabolon HD4 [nt-ms];NA;HMDB01390;1090842;hydroxycotinine [P, nt-ms]
152;1,0491;etiocholanolone glucuronide;Lipids;Steroid;Plasma;Metabolon HD4 [nt-ms];NA;NA;1090774;etiocholanolone glucuronide [P, nt-ms]
