metabolite,biochemical,platform_name,id,fluid,matched,name,sid,chebi,swisslipids,hmdb,lipidmaps,pubchem,chebi_name,swisslipids_name,hmdb_name,lipidmaps_name,IUPAC,InchiKey,chebi_synonyms,swisslipids_synonyms,lipidmaps_synonyms
"""1-arachidonylglycerol (20:4)""","""1-arachidonylglycerol (20:4)""","""Metabolon HD4 [nt-ms]""","""34397 LC/MS Neg""","""plasma""",true,"[""1-arachidonylglycerol""]","[""34397_lcmsneg""]","[""CHEBI:34071""]","[""SLM:000117250""]","[""HMDB0011578""]","[""LMGL01010032""]","[""16019980""]","[""1-arachidonoyl-sn-glycerol""]","[""1-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycerol""]","[""MG(20:4(5Z,8Z,11Z,14Z)/0:0/0:0)""]","[""1-arachidonoyl-sn-glycerol""]","[""(2S)-2,3-dihydroxypropyl (5Z,8Z,11Z,14Z)-icosa-5,8,11,14-tetraenoate""]","[""DCPCOKIYJYGMDN-HUDVFFLJSA-N""]","[""1-arachidonoyl-sn-glycerol"", [""1-Arachidonoylglycerol"", ""1-Arachidonoyl-sn-glycerol"", ""(2S)-2,3-dihydroxypropyl (5Z,8Z,11Z,14Z)-icosa-5,8,11,14-tetraenoate"", ""(S)-glyceryl 1-arachidonate"", ""1-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycerol""]]","[""1-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycerol""]","[""1-arachidonoyl-sn-glycerol"", ""1-AG;1-arachidonoylglycerol""]"
"""1-arachidoyl-GPC (20:0)""","""1-arachidoyl-GPC (20:0)""","""Metabolon HD4 [nt-ms]""","""45456 LC/MS Pos Late""","""plasma""",true,"[""1-arachidoylglycerophosphocholine (20:0)"", ""1-arachidoyl-GPC (20:0)""]","[""45456_lcmspos"", ""45456_lcmsposlate""]","[""CHEBI:74968""]","[""SLM:000000703""]","[""HMDB0010390""]","[""LMGP01050045""]","[""24779473""]","[""1-icosanoyl-sn-glycero-3-phosphocholine""]","[""1-eicosanoyl-sn-glycero-3-phosphocholine""]","[""LysoPC(20:0/0:0)""]","[""PC(20:0/0:0)""]","[""(2R)-2-hydroxy-3-(icosanoyloxy)propyl 2-(trimethylazaniumyl)ethyl phosphate""]","[""UATOAILWGVYRQS-HHHXNRCGSA-N""]","[""1-icosanoyl-sn-glycero-3-phosphocholine"", [""1-eicosanoyl-sn-glycero-3-phosphocholine"", ""1-eicosanoyl-sn-glycero-3-phosphocholine"", ""1-arachidoyl-sn-glycero-3-phosphocholine"", ""PC(20:0/0:0)"", ""LPC(20:0/0:0)"", ""LPC(20:0)"", ""LysoPC(20:0/0:0)"", ""Lysophosphatidylcholine(20:0/0:0)"", ""LysoPC(20:0)"", ""Lysophosphatidylcholine(20:0)"", ""1-Arachidonyl-glycero-3-phosphocholine"", ""(2R)-2-hydroxy-3-(icosanoyloxy)propyl 2-(trimethylazaniumyl)ethyl phosphate"", ""GPC(20:0)"", ""1-arachidoyl-GPC (20:0)"", ""1-arachidoyl-GPC""]]","[""1-eicosanoyl-sn-glycero-3-phosphocholine"", ""1-eicosanoyl-sn-glycero-3-phosphocholine""]","[""PC(20:0/0:0)"", ""LPC(20:0)""]"
"""1-behenoyl-GPC (22:0)""","""1-behenoyl-GPC (22:0)""","""Metabolon HD4 [nt-ms]""","""39792 LC/MS Pos Late""","""plasma""",true,"[""1-behenoyl-GPC (22:0)""]","[""39792_unknown"", ""39792_lcmsposlate""]","[""CHEBI:183975""]","[""SLM:000020762""]","[""HMDB0010398""]","[""LMGP01050053""]","[""24779479""]","[""1-behenoyl-2-hydroxy-sn-glycero-3-phosphocholine""]","[""1-docosanoyl-sn-glycero-3-phosphocholine""]","[""LysoPC(22:0/0:0)""]","[""PC(22:0/0:0)""]","[""[(2R)-3-docosanoyloxy-2-hydroxypropyl] 2-(trimethylazaniumyl)ethyl phosphate""]","[""UIINDYGXBHJQHX-GDLZYMKVSA-N""]","[""1-behenoyl-2-hydroxy-sn-glycero-3-phosphocholine"", [""[(2R)-3-docosanoyloxy-2-hydroxypropyl] 2-(trimethylazaniumyl)ethyl phosphate""]]","[""1-docosanoyl-sn-glycero-3-phosphocholine"", ""1-docosanoyl-sn-glycero-3-phosphocholine""]","[""PC(22:0/0:0)"", ""LPC(22:0)""]"
"""1-dihomo-linolenoyl-GPC (20:3n3 or 6)*""","""1-dihomo-linolenoyl-GPC (20:3n3 or 6)*""","""Metabolon HD4 [nt-ms]""","""33821 LC/MS Pos Late""","""plasma""",true,"[""1-eicosatrienoylglycerophosphocholine (20:3)*"", ""1-dihomo-linolenoyl-GPC (20:3n3 or 6)*""]","[""33821_lcmspos"", ""33821_lcmsposlate""]","[""CHEBI:64488""]","[""SLM:000088981""]","[""HMDB0010393"", ""HMDB0010394""]",[],[],"[""lysophosphatidylcholine 20:3/0:0""]","[""Phosphatidylcholine (20:3/0:0)""]","[""LysoPC(20:3(5Z,8Z,11Z)/0:0)"", ""LysoPC(20:3(8Z,11Z,14Z)/0:0)""]",[],[],[],"[""lysophosphatidylcholine 20:3/0:0"", [""LysoPC(20:3/0:0)"", ""LyPC(20:3/0:0)"", ""LPC(20:3/0:0)"", ""lysophosphatidylcholine(20:3/0:0)"", ""PC 20:3/0:0""]]","[""Phosphatidylcholine (20:3/0:0)""]",[]
"""1-dihomo-linolenoyl-GPE (20:3n3 or 6)*""","""1-dihomo-linolenoyl-GPE (20:3n3 or 6)*""","""Metabolon HD4 [nt-ms]""","""44630 LC/MS Neg""","""plasma""",true,"[""1-eicosatrienoylglycerophosphoethanolamine*""]","[""44630_lcmsneg""]","[""CHEBI:143227""]","[""SLM:000095285""]",[],[],[],"[""PE(20:3/0:0)""]","[""Phosphatidylethanolamine (20:3/0:0)""]",[],[],[],[],"[""PE(20:3/0:0)"", [""lysophosphatidylethanolamine(20:3/0:0)"", ""LysoPE(20:3/0:0)"", ""LysoPE 20:3/0:0"", ""LPE(20:3/0:0)"", ""LPE 20:3/0:0"", ""lysophosphatidylethanolamine 20:3/0:0"", ""PE 20:3/0:0""]]","[""Phosphatidylethanolamine (20:3/0:0)""]",[]
"""1-dihomo-linoleoyl-GPC (20:2)*""","""1-dihomo-linoleoyl-GPC (20:2)*""","""Metabolon HD4 [nt-ms]""","""33871 LC/MS Pos Late""","""plasma""",true,"[""1-dihomo-linoleoylglycerophosphocholine (20:2n6)*"", ""1-dihomo-linoleoyl-GPC (20:2)*""]","[""33871_lcmspos"", ""33871_lcmsposlate""]","[""CHEBI:136083""]","[""SLM:000088916""]","[""HMDB0010392""]",[],[],"[""lysophosphatidylcholine (20:2/0:0)""]","[""Phosphatidylcholine (20:2/0:0)""]","[""LysoPC(20:2(11Z,14Z)/0:0)""]",[],[],[],"[""lysophosphatidylcholine (20:2/0:0)"", [""LPC(20:2/0:0)"", ""LysoPC(20:2/0:0)"", ""PC(20:2/0:0)""]]","[""Phosphatidylcholine (20:2/0:0)""]",[]
"""1-docosahexaenoyl-GPC (22:6)*""","""1-docosahexaenoyl-GPC (22:6)*""","""Metabolon HD4 [nt-ms]""","""33822 LC/MS Pos Late""","""plasma""",true,"[""1-docosahexaenoylglycerophosphocholine (22:6n3)*"", ""1-docosahexaenoyl-GPC (22:6)*""]","[""33822_lcmspos"", ""33822_lcmsposlate""]","[""CHEBI:131986""]","[""SLM:000089631""]","[""HMDB0010404""]",[],[],"[""1-docosahexaenoyl-sn-glycero-3-phosphocholine""]","[""Phosphatidylcholine (22:6/0:0)""]","[""LysoPC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)""]",[],[],[],"[""1-docosahexaenoyl-sn-glycero-3-phosphocholine"", [""GPC(22:6)"", ""GPC(22:6/0:0)"", ""LPC(22:6/0:0)"", ""PC(22:6/0:0)"", ""lysophosphatidylcholine(22:6/0:0)"", ""1-docosahexaenoyl-GPC""]]","[""Phosphatidylcholine (22:6/0:0)""]",[]
"""1-docosahexaenoyl-GPE (22:6)*""","""1-docosahexaenoyl-GPE (22:6)*""","""Metabolon HD4 [nt-ms]""","""44633 LC/MS Pos Late""","""plasma""",true,"[""1-docosahexaenoylglycerophosphoethanolamine*"", ""1-docosahexaenoyl-GPE (22:6)*""]","[""44633_lcmsneg"", ""44633_lcmsposlate""]","[""CHEBI:143228""]","[""SLM:000095935""]",[],[],[],"[""lysophosphatidylethanolamine 22:6/0:0""]","[""Phosphatidylethanolamine (22:6/0:0)""]",[],[],[],[],"[""lysophosphatidylethanolamine 22:6/0:0"", [""lysophosphatidylethanolamine(22:6/0:0)"", ""LysoPE(22:6/0:0)"", ""LPE(22:6/0:0)"", ""PE(22:6/0:0)"", ""LysoPE 22:6/0:0"", ""LPE 22:6/0:0"", ""PE 22:6/0:0""]]","[""Phosphatidylethanolamine (22:6/0:0)""]",[]
"""1-docosapentaenoyl-GPC (22:5n3)*""","""1-docosapentaenoyl-GPC (22:5n3)*""","""Metabolon HD4 [nt-ms]""","""37231 LC/MS Pos Late""","""plasma""",true,"[""1-docosapentaenoylglycerophosphocholine (22:5n3)*"", ""1-docosapentaenoyl-GPC (22:5n3)*""]","[""37231_lcmspos"", ""37231_lcmsposlate""]","[""CHEBI:131985""]","[""SLM:000089566""]","[""HMDB0010403""]",[],[],"[""lysophosphatidylcholine (22:5/0:0)""]","[""Phosphatidylcholine (22:5/0:0)""]","[""LysoPC(22:5(7Z,10Z,13Z,16Z,19Z)/0:0)""]",[],[],[],"[""lysophosphatidylcholine (22:5/0:0)"", [""LPC(22:5/0:0)"", ""PC(22:5/0:0)"", ""lysoPC(22:5/0:0)"", ""1-docosapentaenoyl-sn-glycero-3-phosphocholine""]]","[""Phosphatidylcholine (22:5/0:0)""]",[]
"""1-docosapentaenoyl-GPC (22:5n6)*""","""1-docosapentaenoyl-GPC (22:5n6)*""","""Metabolon HD4 [nt-ms]""","""45675 LC/MS Pos Late""","""plasma""",true,"[""1-docosapentaenoylglycerophosphocholine (22:5n6)*"", ""1-docosapentaenoyl-GPC (22:5n6)*""]","[""45675_lcmspos"", ""45675_lcmsposlate""]","[""CHEBI:131985""]","[""SLM:000089566""]","[""HMDB0010402""]",[],[],"[""lysophosphatidylcholine (22:5/0:0)""]","[""Phosphatidylcholine (22:5/0:0)""]","[""LysoPC(22:5(4Z,7Z,10Z,13Z,16Z)/0:0)""]",[],[],[],"[""lysophosphatidylcholine (22:5/0:0)"", [""LPC(22:5/0:0)"", ""PC(22:5/0:0)"", ""lysoPC(22:5/0:0)"", ""1-docosapentaenoyl-sn-glycero-3-phosphocholine""]]","[""Phosphatidylcholine (22:5/0:0)""]",[]
"""1-eicosapentaenoyl-GPC (20:5)*""","""1-eicosapentaenoyl-GPC (20:5)*""","""Metabolon HD4 [nt-ms]""","""44563 LC/MS Pos Late""","""plasma""",true,"[""1-eicosapentaenoylglycerophosphocholine (20:5n3)*"", ""1-eicosapentaenoyl-GPC (20:5)*""]","[""44563_lcmspos"", ""44563_lcmsposlate""]","[""CHEBI:91311""]","[""SLM:000089111""]","[""HMDB0010397""]",[],[],"[""1-icosapentaenoyl-sn-glycero-3-phosphocholine""]","[""Phosphatidylcholine (20:5/0:0)""]","[""LysoPC(20:5(5Z,8Z,11Z,14Z,17Z)/0:0)""]",[],[],[],"[""1-icosapentaenoyl-sn-glycero-3-phosphocholine"", [""LysoPC(20:5/0:0)"", ""LPC(20:5/0:0)"", ""GPC(20:5)"", ""1-eicosapentaenoyl-GPC"", ""1-eicosapentaenoyl-sn-glycero-3-phosphocholine"", ""PC(20:5/0:0)"", ""1-eicosapentaenoyl-GPC (20:5)"", ""lysophosphatidylcholine(20:5/0:0)""]]","[""Phosphatidylcholine (20:5/0:0)""]",[]
"""1-eicosapentaenoyl-GPE (20:5)*""","""1-eicosapentaenoyl-GPE (20:5)*""","""Metabolon HD4 [nt-ms]""","""47888 LC/MS Neg""","""plasma""",true,"[""1-eicosapentaenoylglycerophosphoethanolamine*"", ""1-eicosapentaenoyl-GPE (20:5)*""]","[""47888_unknown"", ""47888_lcmsneg""]","[""CHEBI:145286""]","[""SLM:000095415""]",[],[],[],"[""PE(20:5/0:0)""]","[""Phosphatidylethanolamine (20:5/0:0)""]",[],[],[],[],"[""PE(20:5/0:0)"", [""LPE(20:5/0:0)"", ""LysoPE(20:5/0:0)"", ""PE 20:5/0:0"", ""LPE 20:5/0:0"", ""LysoPE 20:5/0:0""]]","[""Phosphatidylethanolamine (20:5/0:0)""]",[]
"""1-eicosenoyl-GPC (20:1)*""","""1-eicosenoyl-GPC (20:1)*""","""Metabolon HD4 [nt-ms]""","""44560 LC/MS Pos Late""","""plasma""",true,"[""1-eicosenoylglycerophosphocholine (20:1n9)*"", ""1-eicosenoyl-GPC (20:1)*""]","[""44560_lcmspos"", ""44560_lcmsposlate""]","[""CHEBI:131982""]","[""SLM:000088851""]","[""HMDB0010391""]",[],[],"[""1-icosenoyl-sn-glycero-3-phosphocholine""]","[""Phosphatidylcholine (20:1/0:0)""]","[""LysoPC(20:1(11Z)/0:0)""]",[],[],[],"[""1-icosenoyl-sn-glycero-3-phosphocholine"", [""lysophosphatidylcholine (20:1/0:0)"", ""GPC(20:1/0:0)"", ""LPC(20:1/0:0)"", ""GPC(20:1)"", ""1-eicosenoyl-sn-glycero-3-phosphocholine"", ""PC(20:1/0:0)"", ""1-eicosenoyl-GPC (20:1)"", ""1-eicosenoyl-GPC""]]","[""Phosphatidylcholine (20:1/0:0)""]",[]
"""1-linolenoyl-GPC (18:3)*""","""1-linolenoyl-GPC (18:3)*""","""Metabolon HD4 [nt-ms]""","""45951 LC/MS Pos Late""","""plasma""",true,"[""1-linolenoyl-GPC (18:3)*"", ""1-linolenoylglycerophosphocholine (18:3n3)*""]","[""45951_lcmsposlate"", ""45951_lcmspos""]","[""CHEBI:133456""]","[""SLM:000020754""]","[""HMDB0010388""]","[""LMGP01050038""]","[""24779469""]","[""1-alpha-linolenoyl-sn-glycero-3-phosphocholine""]","[""1-(9Z,12Z,15Z-octadecatrienoyl)-sn-glycero-3-phosphocholine""]","[""LysoPC(18:3(9Z,12Z,15Z)/0:0)""]","[""PC(18:3(9Z,12Z,15Z)/0:0)""]","[""(2R)-2-hydroxy-3-{[(9Z,12Z,15Z)-octadeca-9,12,15-trienoyl]oxy}propyl 2-(trimethylazaniumyl)ethyl phosphate""]","[""WKQNRCYKYCKESD-YVHLTTHBSA-N""]","[""1-alpha-linolenoyl-sn-glycero-3-phosphocholine"", [""1-[(9Z,12Z,15Z)-octadecatrienoyl]-sn-glycero-3-phosphocholine"", ""1-linolenoyl-sn-glycero-3-phosphocholine"", ""1-[(9Z,12Z,15Z)-octadec-9,12,15-trienoyl]-sn-glycero-3-phosphocholine"", ""PC(18:3)"", ""GPC(18:3)"", ""PC(18:3/0:0)"", ""GPC(18:3/0:0)"", ""1-linolenoyl-GPC (18:3)"", ""1-linolenoyl-GPC"", ""PC(18:3(9Z,12Z,15Z)/0:0)"", ""1-(9Z,12Z,15Z-octadecatrienoyl)-sn-glycero-3-phosphocholine"", ""LysoPC(18:3(9Z,12Z,15Z))"", ""LPC(18:3)"", ""Lysophosphatidylcholine(18:3n3/0:0)"", ""1-18:3-LysoPC"", ""1-alpha-Linolenoyl-glycero-3-phosphocholine"", ""LPC(18:3/0:0)"", ""LysoPC(18:3n3/0:0)"", ""LysoPC(18:3)"", ""LysoPC(18:3/0:0)"", ""LPC(18:3n3/0:0)"", ""Lysophosphatidylcholine(18:3)"", ""Lysophosphatidylcholine(18:3/0:0)"", ""1-18:3-lysoPC"", ""1-18:3-lysophosphatidylcholine"", ""(2R)-2-hydroxy-3-{[(9Z,12Z,15Z)-octadeca-9,12,15-trienoyl]oxy}propyl 2-(trimethylazaniumyl)ethyl phosphate"", ""1-(9Z,12Z,15Z-octadecatrienoyl)-sn-glycero-3-phosphocholine""]]","[""1-(9Z,12Z,15Z-octadecatrienoyl)-sn-glycero-3-phosphocholine""]","[""PC(18:3(9Z,12Z,15Z)/0:0)"", ""PC(18:3/0:0); LPC(18:3)""]"
